Vg,Vd,Id
0.23,0.09,8.15812e-07
0.24,0.09,1.0759e-06
0.25,0.09,1.3909e-06
0.26,0.09,1.7616e-06
0.27,0.09,2.1864e-06
0.28,0.09,2.661e-06
0.29,0.09,3.179e-06
0.3,0.09,3.7327e-06
0.31,0.09,4.3135e-06
0.32,0.09,4.9131e-06
0.33,0.09,5.5235e-06
0.34,0.09,6.1379e-06
0.35,0.09,6.7504e-06
0.36,0.09,7.3563e-06
0.37,0.09,7.9522e-06
0.38,0.09,8.5352e-06
0.39,0.09,9.1035e-06
0.4,0.09,9.6556e-06
0.41,0.09,1.01906e-05
0.42,0.09,1.07078e-05
0.43,0.09,1.1207e-05
0.44,0.09,1.16879e-05
0.45,0.09,1.21508e-05
0.46,0.09,1.25956e-05
0.47,0.09,1.30229e-05
0.48,0.09,1.34328e-05
0.49,0.09,1.38259e-05
0.5,0.09,1.42027e-05
0.51,0.09,1.45636e-05
0.52,0.09,1.49093e-05
0.53,0.09,1.52403e-05
0.54,0.09,1.55571e-05
0.55,0.09,1.58603e-05
0.56,0.09,1.61505e-05
0.57,0.09,1.64283e-05
0.58,0.09,1.66942e-05
0.59,0.09,1.69487e-05
0.6,0.09,1.71923e-05
0.61,0.09,1.74256e-05
0.62,0.09,1.76489e-05
0.63,0.09,1.78629e-05
0.64,0.09,1.80678e-05
0.65,0.09,1.82642e-05
0.66,0.09,1.84524e-05
0.67,0.09,1.86329e-05
0.68,0.09,1.88059e-05
0.69,0.09,1.89718e-05
0.7,0.09,1.9131e-05
0.71,0.09,1.92838e-05
0.72,0.09,1.94304e-05
0.73,0.09,1.95712e-05
0.74,0.09,1.97064e-05
0.75,0.09,1.98363e-05
0.76,0.09,1.99611e-05
0.77,0.09,2.0081e-05
0.78,0.09,2.01963e-05
0.79,0.09,2.03072e-05
0.8,0.09,2.04139e-05
0.01,0.1,2.86803e-10
0.02,0.1,4.18209e-10
0.03,0.1,6.09808e-10
0.04,0.1,8.89153e-10
0.05,0.1,1.2964e-09
0.06,0.1,1.89e-09
0.07,0.1,2.7552e-09
0.08,0.1,4.0157e-09
0.09,0.1,5.8515e-09
0.1,0.1,8.5238e-09
0.11,0.1,1.24104e-08
0.12,0.1,1.80563e-08
0.13,0.1,2.62439e-08
0.14,0.1,3.80881e-08
0.15,0.1,5.51621e-08
0.16,0.1,7.9654e-08
0.17,0.1,1.14547e-07
0.18,0.1,1.63798e-07
0.19,0.1,2.32464e-07
0.2,0.1,3.26704e-07
0.21,0.1,4.53559e-07
0.22,0.1,6.20469e-07
0.23,0.1,8.34551e-07
0.24,0.1,1.1018e-06
0.25,0.1,1.4261e-06
0.26,0.1,1.8092e-06
0.27,0.1,2.2499e-06
0.28,0.1,2.7447e-06
0.29,0.1,3.2878e-06
0.3,0.1,3.8718e-06
0.31,0.1,4.4885e-06
0.32,0.1,5.1293e-06
0.33,0.1,5.7859e-06
0.34,0.1,6.4507e-06
0.35,0.1,7.117e-06
0.36,0.1,7.7795e-06
0.37,0.1,8.4337e-06
0.38,0.1,9.0762e-06
0.39,0.1,9.7046e-06
0.4,0.1,1.03168e-05
0.41,0.1,1.09116e-05
0.42,0.1,1.14881e-05
0.43,0.1,1.20456e-05
0.44,0.1,1.25838e-05
0.45,0.1,1.31027e-05
0.46,0.1,1.36023e-05
0.47,0.1,1.40828e-05
0.48,0.1,1.45445e-05
0.49,0.1,1.49878e-05
0.5,0.1,1.54131e-05
0.51,0.1,1.5821e-05
0.52,0.1,1.6212e-05
0.53,0.1,1.65866e-05
0.54,0.1,1.69456e-05
0.55,0.1,1.72893e-05
0.56,0.1,1.76185e-05
0.57,0.1,1.79338e-05
0.58,0.1,1.82357e-05
0.59,0.1,1.85248e-05
0.6,0.1,1.88017e-05
0.61,0.1,1.90668e-05
0.62,0.1,1.93208e-05
0.63,0.1,1.95642e-05
0.64,0.1,1.97973e-05
0.65,0.1,2.00208e-05
0.66,0.1,2.0235e-05
0.67,0.1,2.04403e-05
0.68,0.1,2.06372e-05
0.69,0.1,2.08261e-05
0.7,0.1,2.10073e-05
0.71,0.1,2.11812e-05
0.72,0.1,2.13481e-05
0.73,0.1,2.15083e-05
0.74,0.1,2.16622e-05
0.75,0.1,2.18099e-05
0.76,0.1,2.19519e-05
0.77,0.1,2.20884e-05
0.78,0.1,2.22195e-05
0.79,0.1,2.23456e-05
0.8,0.1,2.24668e-05
0.01,0.11,2.92206e-10
0.02,0.11,4.26046e-10
0.03,0.11,6.21174e-10
0.04,0.11,9.05639e-10
0.05,0.11,1.3203e-09
0.06,0.11,1.9247e-09
0.07,0.11,2.8054e-09
0.08,0.11,4.0886e-09
0.09,0.11,5.9572e-09
0.1,0.11,8.6769e-09
0.11,0.11,1.26321e-08
0.12,0.11,1.83773e-08
0.13,0.11,2.67082e-08
0.14,0.11,3.8759e-08
0.15,0.11,5.61301e-08
0.16,0.11,8.10476e-08
0.17,0.11,1.16548e-07
0.18,0.11,1.66659e-07
0.19,0.11,2.36538e-07
0.2,0.11,3.32468e-07
0.21,0.11,4.61656e-07
0.22,0.11,6.31753e-07
0.23,0.11,8.5014e-07
0.24,0.11,1.1231e-06
0.25,0.11,1.4551e-06
0.26,0.11,1.8481e-06
0.27,0.11,2.3016e-06
0.28,0.11,2.8126e-06
0.29,0.11,3.3761e-06
0.3,0.11,3.985e-06
0.31,0.11,4.6316e-06
0.32,0.11,5.3074e-06
0.33,0.11,6.0039e-06
0.34,0.11,6.7131e-06
0.35,0.11,7.4278e-06
0.36,0.11,8.1418e-06
0.37,0.11,8.85e-06
0.38,0.11,9.5484e-06
0.39,0.11,1.02336e-05
0.4,0.11,1.09033e-05
0.41,0.11,1.15558e-05
0.42,0.11,1.21897e-05
0.43,0.11,1.28043e-05
0.44,0.11,1.33988e-05
0.45,0.11,1.39731e-05
0.46,0.11,1.45271e-05
0.47,0.11,1.50607e-05
0.48,0.11,1.55743e-05
0.49,0.11,1.60681e-05
0.5,0.11,1.65425e-05
0.51,0.11,1.69979e-05
0.52,0.11,1.7435e-05
0.53,0.11,1.78542e-05
0.54,0.11,1.82561e-05
0.55,0.11,1.86414e-05
0.56,0.11,1.90106e-05
0.57,0.11,1.93645e-05
0.58,0.11,1.97034e-05
0.59,0.11,2.00282e-05
0.6,0.11,2.03394e-05
0.61,0.11,2.06375e-05
0.62,0.11,2.09232e-05
0.63,0.11,2.11969e-05
0.64,0.11,2.14593e-05
0.65,0.11,2.17108e-05
0.66,0.11,2.19519e-05
0.67,0.11,2.2183e-05
0.68,0.11,2.24047e-05
0.69,0.11,2.26174e-05
0.7,0.11,2.28214e-05
0.71,0.11,2.30172e-05
0.72,0.11,2.32051e-05
0.73,0.11,2.33855e-05
0.74,0.11,2.35587e-05
0.75,0.11,2.37251e-05
