Vg,Vd,Id
0.03,0.07,2.16442e-10
0.04,0.07,2.98622e-10
0.05,0.07,4.11998e-10
0.06,0.07,5.68409e-10
0.07,0.07,7.84178e-10
0.08,0.07,1.0818e-09
0.09,0.07,1.4923e-09
0.1,0.07,2.0585e-09
0.11,0.07,2.8392e-09
0.12,0.07,3.9154e-09
0.13,0.07,5.3985e-09
0.14,0.07,7.4415e-09
0.15,0.07,1.0254e-08
0.16,0.07,1.41227e-08
0.17,0.07,1.94381e-08
0.18,0.07,2.67297e-08
0.19,0.07,3.67113e-08
0.2,0.07,5.03362e-08
0.21,0.07,6.88637e-08
0.22,0.07,9.39308e-08
0.23,0.07,1.27623e-07
0.24,0.07,1.72527e-07
0.25,0.07,2.31741e-07
0.26,0.07,3.08825e-07
0.27,0.07,4.07646e-07
0.28,0.07,5.32141e-07
0.29,0.07,6.86001e-07
0.3,0.07,8.72327e-07
0.31,0.07,1.0933e-06
0.32,0.07,1.3501e-06
0.33,0.07,1.6426e-06
0.34,0.07,1.9696e-06
0.35,0.07,2.3286e-06
0.36,0.07,2.7163e-06
0.37,0.07,3.1288e-06
0.38,0.07,3.5615e-06
0.39,0.07,4.0096e-06
0.4,0.07,4.4685e-06
0.41,0.07,4.9337e-06
0.42,0.07,5.401e-06
0.43,0.07,5.8668e-06
0.44,0.07,6.3281e-06
0.45,0.07,6.7825e-06
0.46,0.07,7.2281e-06
0.47,0.07,7.6634e-06
0.48,0.07,8.0875e-06
0.49,0.07,8.4995e-06
0.5,0.07,8.8992e-06
0.51,0.07,9.2863e-06
0.52,0.07,9.6607e-06
0.53,0.07,1.00224e-05
0.54,0.07,1.03717e-05
0.55,0.07,1.07086e-05
0.56,0.07,1.10334e-05
0.57,0.07,1.13465e-05
0.58,0.07,1.1648e-05
0.59,0.07,1.19384e-05
0.6,0.07,1.2218e-05
0.61,0.07,1.24871e-05
0.62,0.07,1.2746e-05
0.63,0.07,1.29953e-05
0.64,0.07,1.32351e-05
0.65,0.07,1.34659e-05
0.66,0.07,1.36881e-05
0.67,0.07,1.3902e-05
0.68,0.07,1.4108e-05
0.69,0.07,1.43064e-05
0.7,0.07,1.44975e-05
0.71,0.07,1.46816e-05
0.72,0.07,1.48591e-05
0.73,0.07,1.50302e-05
0.74,0.07,1.51952e-05
0.75,0.07,1.53545e-05
0.76,0.07,1.55082e-05
0.77,0.07,1.56566e-05
0.78,0.07,1.57999e-05
0.79,0.07,1.59384e-05
0.8,0.07,1.60722e-05
0.01,0.08,1.18363e-10
0.02,0.08,1.6325e-10
0.03,0.08,2.25156e-10
0.04,0.08,3.10536e-10
0.05,0.08,4.28284e-10
0.06,0.08,5.90669e-10
0.07,0.08,8.14601e-10
0.08,0.08,1.1234e-09
0.09,0.08,1.5491e-09
0.1,0.08,2.1361e-09
0.11,0.08,2.9452e-09
0.12,0.08,4.0601e-09
0.13,0.08,5.5961e-09
0.14,0.08,7.7112e-09
0.15,0.08,1.0622e-08
0.16,0.08,1.46246e-08
0.17,0.08,2.0122e-08
0.18,0.08,2.7661e-08
0.19,0.08,3.79782e-08
0.2,0.08,5.20575e-08
0.21,0.08,7.11983e-08
0.22,0.08,9.70903e-08
0.23,0.08,1.31888e-07
0.24,0.08,1.78264e-07
0.25,0.08,2.3943e-07
0.26,0.08,3.19081e-07
0.27,0.08,4.21256e-07
0.28,0.08,5.50101e-07
0.29,0.08,7.09558e-07
0.3,0.08,9.03035e-07
0.31,0.08,1.1331e-06
0.32,0.08,1.4013e-06
0.33,0.08,1.7081e-06
0.34,0.08,2.0526e-06
0.35,0.08,2.4331e-06
0.36,0.08,2.8468e-06
0.37,0.08,3.2901e-06
0.38,0.08,3.7588e-06
0.39,0.08,4.2482e-06
0.4,0.08,4.7536e-06
0.41,0.08,5.2702e-06
0.42,0.08,5.7934e-06
0.43,0.08,6.3189e-06
0.44,0.08,6.8429e-06
0.45,0.08,7.3623e-06
0.46,0.08,7.8744e-06
0.47,0.08,8.3771e-06
0.48,0.08,8.8686e-06
0.49,0.08,9.3478e-06
0.5,0.08,9.8139e-06
0.51,0.08,1.02662e-05
0.52,0.08,1.07044e-05
0.53,0.08,1.11285e-05
0.54,0.08,1.15383e-05
0.55,0.08,1.1934e-05
0.56,0.08,1.23158e-05
0.57,0.08,1.26838e-05
0.58,0.08,1.30385e-05
0.59,0.08,1.33801e-05
0.6,0.08,1.37091e-05
0.61,0.08,1.40257e-05
0.62,0.08,1.43305e-05
0.63,0.08,1.46237e-05
0.64,0.08,1.49059e-05
0.65,0.08,1.51775e-05
0.66,0.08,1.54388e-05
0.67,0.08,1.56903e-05
0.68,0.08,1.59324e-05
0.69,0.08,1.61655e-05
0.7,0.08,1.63901e-05
0.71,0.08,1.66063e-05
0.72,0.08,1.68147e-05
0.73,0.08,1.70156e-05
0.74,0.08,1.72092e-05
0.75,0.08,1.7396e-05
0.76,0.08,1.75763e-05
0.77,0.08,1.77502e-05
0.78,0.08,1.79182e-05
0.79,0.08,1.80805e-05
0.8,0.08,1.82372e-05
0.01,0.09,1.22765e-10
0.02,0.09,1.69256e-10
0.03,0.09,2.33352e-10
0.04,0.09,3.21717e-10
0.05,0.09,4.43536e-10
0.06,0.09,6.11472e-10
0.07,0.09,8.42969e-10
0.08,0.09,1.1621e-09
0.09,0.09,1.6019e-09
0.1,0.09,2.208e-09
0.11,0.09,3.0431e-09
0.12,0.09,4.1935e-09
0.13,0.09,5.7778e-09
0.14,0.09,7.9586e-09
0.15,0.09,1.09586e-08
0.16,0.09,1.50822e-08
0.17,0.09,2.07438e-08
0.18,0.09,2.85052e-08
0.19,0.09,3.91227e-08
0.2,0.09,5.36068e-08
0.21,0.09,7.32912e-08
0.22,0.09,9.99105e-08
0.23,0.09,1.35676e-07
0.24,0.09,1.83332e-07
0.25,0.09,2.46179e-07
0.26,0.09,3.28019e-07
0.27,0.09,4.33021e-07
0.28,0.09,5.65484e-07
0.29,0.09,7.29534e-07
0.3,0.09,9.28796e-07
0.31,0.09,1.1661e-06
0.32,0.09,1.4433e-06
0.33,0.09,1.7612e-06
0.34,0.09,2.1194e-06
0.35,0.09,2.5165e-06
0.36,0.09,2.9503e-06
0.37,0.09,3.4176e-06
0.38,0.09,3.9146e-06
0.39,0.09,4.4371e-06
0.4,0.09,4.9805e-06
0.41,0.09,5.54e-06
0.42,0.09,6.1108e-06
0.43,0.09,6.6884e-06
0.44,0.09,7.2686e-06
0.45,0.09,7.8475e-06
0.46,0.09,8.4218e-06
0.47,0.09,8.9886e-06
0.48,0.09,9.5455e-06
0.49,0.09,1.00907e-05
0.5,0.09,1.06229e-05
0.51,0.09,1.11408e-05
0.52,0.09,1.1644e-05
0.53,0.09,1.21317e-05
0.54,0.09,1.2604e-05
0.55,0.09,1.30605e-05
0.56,0.09,1.35015e-05
0.57,0.09,1.39271e-05
0.58,0.09,1.43374e-05
0.59,0.09,1.47329e-05
0.6,0.09,1.51139e-05
0.61,0.09,1.54807e-05
0.62,0.09,1.58339e-05
0.63,0.09,1.61738e-05
0.64,0.09,1.65008e-05
0.65,0.09,1.68156e-05
0.66,0.09,1.71185e-05
0.67,0.09,1.741e-05
0.68,0.09,1.76905e-05
0.69,0.09,1.79606e-05
0.7,0.09,1.82207e-05
0.71,0.09,1.84711e-05
0.72,0.09,1.87124e-05
0.73,0.09,1.89449e-05
0.74,0.09,1.91689e-05
0.75,0.09,1.9385e-05
0.76,0.09,1.95934e-05
0.77,0.09,1.97945e-05
0.78,0.09,1.99886e-05
0.79,0.09,2.01761e-05
0.8,0.09,2.03571e-05
0.01,0.1,1.27046e-10
0.02,0.1,1.75088e-10
0.03,0.1,2.41295e-10
0.04,0.1,3.32533e-10
0.05,0.1,4.58264e-10
0.06,0.1,6.31521e-10
0.07,0.1,8.70257e-10
0.08,0.1,1.1992e-09
0.09,0.1,1.6524e-09
0.1,0.1,2.2767e-09
0.11,0.1,3.1365e-09
0.12,0.1,4.3205e-09
0.13,0.1,5.9504e-09
0.14,0.1,8.1929e-09
0.15,0.1,1.12767e-08
0.16,0.1,1.55137e-08
0.17,0.1,2.13286e-08
0.18,0.1,2.92968e-08
0.19,0.1,4.01929e-08
0.2,0.1,5.50508e-08
0.21,0.1,7.52351e-08
0.22,0.1,1.0252e-07
0.23,0.1,1.39165e-07
0.24,0.1,1.87979e-07
0.25,0.1,2.52332e-07
0.26,0.1,3.36118e-07
0.27,0.1,4.43606e-07
0.28,0.1,5.79214e-07
0.29,0.1,7.47205e-07
0.3,0.1,9.5136e-07
0.31,0.1,1.1947e-06
0.32,0.1,1.4793e-06
0.33,0.1,1.8062e-06
0.34,0.1,2.1753e-06
0.35,0.1,2.5856e-06
0.36,0.1,3.0352e-06
0.37,0.1,3.5215e-06
0.38,0.1,4.041e-06
0.39,0.1,4.5898e-06
0.4,0.1,5.1637e-06
0.41,0.1,5.7582e-06
0.42,0.1,6.3686e-06
0.43,0.1,6.9905e-06
0.44,0.1,7.6192e-06
0.45,0.1,8.2506e-06
0.46,0.1,8.881e-06
0.47,0.1,9.5068e-06
0.48,0.1,1.01252e-05
0.49,0.1,1.07335e-05
0.5,0.1,1.13298e-05
0.51,0.1,1.19124e-05
0.52,0.1,1.248e-05
0.53,0.1,1.30319e-05
0.54,0.1,1.35674e-05
0.55,0.1,1.40862e-05
0.56,0.1,1.4588e-05
0.57,0.1,1.50729e-05
0.58,0.1,1.5541e-05
0.59,0.1,1.59925e-05
0.6,0.1,1.64278e-05
0.61,0.1,1.68473e-05
0.62,0.1,1.72512e-05
0.63,0.1,1.76402e-05
0.64,0.1,1.80146e-05
0.65,0.1,1.8375e-05
0.66,0.1,1.87218e-05
0.67,0.1,1.90556e-05
0.68,0.1,1.93769e-05
0.69,0.1,1.96862e-05
0.7,0.1,1.99839e-05
0.71,0.1,2.02707e-05
0.72,0.1,2.05468e-05
0.73,0.1,2.08129e-05
0.74,0.1,2.10693e-05
0.75,0.1,2.13165e-05
0.76,0.1,2.15548e-05
0.77,0.1,2.17847e-05
0.78,0.1,2.20066e-05
0.79,0.1,2.22208e-05
0.8,0.1,2.24276e-05
0.01,0.11,1.31286e-10
0.02,0.11,1.80855e-10
0.03,0.11,2.49137e-10
0.04,0.11,3.43195e-10
0.05,0.11,4.72756e-10
0.06,0.11,6.51216e-10
0.07,0.11,8.97018e-10
0.08,0.11,1.2356e-09
0.09,0.11,1.7018e-09
0.1,0.11,2.3437e-09
0.11,0.11,3.2275e-09
0.12,0.11,4.4439e-09
0.13,0.11,6.1177e-09
0.14,0.11,8.4198e-09
0.15,0.11,1.15839e-08
0.16,0.11,1.59295e-08
0.17,0.11,2.18908e-08
0.18,0.11,3.0056e-08
0.19,0.11,4.12164e-08
0.2,0.11,5.6428e-08
0.21,0.11,7.70835e-08
0.22,0.11,1.04993e-07
0.23,0.11,1.4246e-07
0.24,0.11,1.92347e-07
0.25,0.11,2.5809e-07
0.26,0.11,3.43656e-07
0.27,0.11,4.53398e-07
0.28,0.11,5.91829e-07
0.29,0.11,7.63317e-07
0.3,0.11,9.71761e-07
0.31,0.11,1.2203e-06
0.32,0.11,1.5112e-06
0.33,0.11,1.8457e-06
